"id","effect","muts","cv","colors","enz"
"0000",0,0,NA,"#FFFFFF","TEM"
"0001",0.130333768495006,1,NA,"#FFEDEC","TEM"
"0010",-1.14996674231023,1,NA,"#62DDFF","TEM"
"0100",0.117271295655764,1,NA,"#FFF0F0","TEM"
"1000",0.0681858617461616,1,NA,"#FFF4F3","TEM"
"0011",-1.30102999566398,2,NA,"#4CD8FF","TEM"
"0101",0.113943352306837,2,NA,"#FFF0F0","TEM"
"0110",-1.35457773065091,2,NA,"#45D7FF","TEM"
"1001",0.136720567156407,2,NA,"#FFEDEC","TEM"
"1010",0.0899051114393979,2,NA,"#FFF4F3","TEM"
"1100",0.123851640967086,2,NA,"#FFEDEC","TEM"
"0111",-1.30102999566398,3,NA,"#4CD8FF","TEM"
"1011",0.187520720836463,3,NA,"#FFE6E4","TEM"
"1101",0.204119982655925,3,NA,"#FFE2E1","TEM"
"1110",0.130333768495006,3,NA,"#FFEDEC","TEM"
"1111",0.264817823009536,4,NA,"#FFDBD9","TEM"
