genotype,avg,pos,mutations
x00000,0.42651126136457523,p233,1
x00001,0.34935935877498336,p233,1
x00010,0.6551578450543809,p233,1
x00011,0.7374517728457054,p233,1
x00100,0.29503963197479377,p233,1
x00101,0.0912863449055388,p233,1
x00110,0.3679767852945943,p233,1
x00111,-0.6744468664769321,p233,1
x01000,0.4840615723813087,p233,1
x01001,0.4510613122783833,p233,1
x01010,0.5351132016973492,p233,1
x01011,0.6640079006144175,p233,1
x01100,0.3063807140480824,p233,1
x01101,0.33548550502948293,p233,1
x01110,0.4314662041834989,p233,1
x01111,0.40510168184954143,p233,1
x10000,2.1024978675600545,p233,1
x10001,1.4604402433504244,p233,1
x10010,0.6904981279010598,p233,1
x10011,1.037029967715034,p233,1
x10100,1.7551063496168215,p233,1
x10101,1.3152123001848492,p233,1
x10110,0.2646413164101129,p233,1
x10111,0.269067476752316,p233,1
x11000,1.8233864384377059,p233,1
x11001,2.060697840353612,p233,1
x11010,0.9208187539523753,p233,1
x11011,0.3572859197494922,p233,1
x11100,1.534909832701873,p233,1
x11101,1.4713453861963257,p233,1
x11110,0.1458890402680595,p233,1
x11111,-0.04440470924291784,p233,1
0x0000,0.6201360549737575,p254,1
0x0001,0.7930568580076961,p254,1
0x0010,0.9488474775526188,p254,1
0x0011,1.2626102844209415,p254,1
0x0100,0.9462368545148119,p254,1
0x0101,1.1490209321827145,p254,1
0x0110,1.4953576716290746,p254,1
0x0111,1.6700995079751295,p254,1
0x1000,0.7122197959046723,p254,1
0x1001,0.8413144922841299,p254,1
0x1010,1.0643321250087057,p254,1
0x1011,1.0676317968418765,p254,1
0x1100,1.167634631992444,p254,1
0x1101,1.4784473457710554,p254,1
0x1110,1.6956378052633305,p254,1
0x1111,1.3423288908462658,p254,1
1x0000,2.2961226611692367,p254,1
1x0001,1.9041377425831372,p254,1
1x0010,0.9841877603992977,p254,1
1x0011,1.5621884792902703,p254,1
1x0100,2.4063035721568395,p254,1
1x0101,2.372946887462025,p254,1
1x0110,1.3920222027445932,p254,1
1x0111,2.6136138512043776,p254,1
1x1000,2.0515446619610693,p254,1
1x1001,2.4509510203593585,p254,1
1x1010,1.4500376772637318,p254,1
1x1011,0.7609098159769512,p254,1
1x1100,2.3961637506462345,p254,1
1x1101,2.614307226937898,p254,1
1x1110,1.410060641347891,p254,1
1x1111,0.8928224997538066,p254,1
00x000,-0.09312646527792956,p271,1
00x001,-0.059737451959863914,p271,1
00x010,-0.22111822886900034,p271,1
00x011,1.0631642329867175,p271,1
00x100,-0.08156748546798702,p271,1
00x101,-0.19556961245153015,p271,1
00x110,-0.03709645798292005,p271,1
00x111,0.6402050619328374,p271,1
01x000,-0.0010427243470146896,p271,1
01x001,-0.011479817683430094,p271,1
01x010,-0.10563358141291346,p271,1
01x011,0.8681857454076523,p271,1
01x100,0.13983029200964503,p271,1
01x101,0.13385680113681064,p271,1
01x110,0.16318367565133585,p271,1
01x111,0.31243444480397375,p271,1
10x000,-0.03557615426119609,p271,1
10x001,0.04196450154353604,p271,1
10x010,-0.34116287222603203,p271,1
10x011,0.9897203607554295,p271,1
10x100,-0.07022640339469838,p271,1
10x101,0.04862954767241395,p271,1
10x110,0.02639296090598453,p271,1
10x111,1.719753610259311,p271,1
11x000,-0.28015415346936345,p271,1
11x001,0.58877777931975706,p271,1
11x010,0.12468704463840208,p271,1
11x011,0.18844169744211037,p271,1
11x100,-0.08036622490530343,p271,1
11x101,0.2899898871482871,p271,1
11x110,0.04443139950928243,p271,1
11x111,-0.0010377411912600998,p271,1
000x00,0.1643528557844371,p272,1
000x01,0.26638512371021944,p272,1
000x10,-0.06366907986937731,p272,1
000x11,0.4885326963563824,p272,1
001x00,0.17591183559437962,p272,1
001x01,0.13055296321855323,p272,1
001x10,0.12035269101670298,p272,1
001x11,0.06557352530250249,p272,1
010x00,0.49045365532549157,p272,1
010x01,0.6223491978852379,p272,1
010x10,0.48284111420707854,p272,1
010x11,0.8960219199105703,p272,1
011x00,0.6313266716821513,p272,1
011x01,0.7676858167054786,p272,1
011x10,0.7516583712713278,p272,1
011x11,0.34027061930689184,p272,1
100x00,0.03288122639465563,p272,1
100x01,0.008312109840774906,p272,1
100x10,-0.3508501396291639,p272,1
100x11,-0.9233659429662551,p272,1
101x00,-0.0017690227388466595,p272,1
101x01,0.014977155969652822,p272,1
101x10,0.01670569350285267,p272,1
101x11,-0.19333269346237358,p272,1
110x00,0.14306213738225848,p272,1
110x01,0.4771212547196626,p272,1
110x10,0.05698430271613164,p272,1
110x11,0.12805942894785227,p272,1
111x00,0.3428500659463185,p272,1
111x01,0.17833336254819265,p272,1
111x10,-0.023271342412988005,p272,1
111x11,-0.061420009685518195,p272,1
0000x0,1.2966651902615312,p306,1
0000x1,0.5289333508645141,p306,1
