"id","effect","muts","cv","colors","enz"
"0000000",0,0,NA,"#FFFFFF","NfsA"
"0000001",-0.0222763947111523,1,NA,"#FBFEFF","NfsA"
"0000010",0.478566495593843,1,NA,"#FFA6A2","NfsA"
"0000100",-0.0520763801682736,1,NA,"#F3FCFF","NfsA"
"0001000",0.00860017176191757,1,NA,"#FFFFFF","NfsA"
"0010000",-0.00392634551472467,1,NA,"#FFFFFF","NfsA"
"0100000",-0.0209070993616736,1,NA,"#FBFEFF","NfsA"
"1000000",0.0211892990699381,1,NA,"#FFFBFB","NfsA"
"0000011",0.65991620006985,2,NA,"#FF8680","NfsA"
"0000101",-0.051587034221399,2,NA,"#F3FCFF","NfsA"
"0000110",0.518513939877887,2,NA,"#FF9F9A","NfsA"
"0001001",0.123851640967086,2,NA,"#FFE9E8","NfsA"
"0001010",0.474216264076255,2,NA,"#FFAAA5","NfsA"
"0001100",-0.0347982989740879,2,NA,"#F7FDFF","NfsA"
"0010001",0,2,NA,"#FFFFFF","NfsA"
"0010010",0.453318340047038,2,NA,"#FFADA9","NfsA"
"0010100",-0.0273344077338891,2,NA,"#FBFEFF","NfsA"
"0011000",0.0530784434834197,2,NA,"#FFF4F3","NfsA"
"0100001",0.0718820073061254,2,NA,"#FFF0F0","NfsA"
"0100010",-0.0535477349869269,2,NA,"#F3FCFF","NfsA"
"0100100",-0.048176964684088,2,NA,"#F7FDFF","NfsA"
"0101000",-0.0213630516155257,2,NA,"#FBFEFF","NfsA"
"0110000",-0.00436480540245009,2,NA,"#FFFFFF","NfsA"
"1000001",-0.058488567365597,2,NA,"#F3FCFF","NfsA"
"1000010",0.752816431188271,2,NA,"#FF746D","NfsA"
"1000100",-0.0419141514789149,2,NA,"#F7FDFF","NfsA"
"1001000",0.0969100130080564,2,NA,"#FFEDEC","NfsA"
"1010000",0.0253058652647703,2,NA,"#FFFBFB","NfsA"
"1100000",0.0374264979406237,2,NA,"#FFF7F7","NfsA"
"0000111",0.307496037913213,3,NA,"#FFC6C3","NfsA"
"0001011",0.732393759822969,3,NA,"#FF7871","NfsA"
"0001101",-0.0190880622231565,3,NA,"#FBFEFF","NfsA"
"0001110",0.569373909615046,3,NA,"#FF9893","NfsA"
"0010011",0.515873843711679,3,NA,"#FFA29E","NfsA"
"0010101",-0.0190880622231565,3,NA,"#FBFEFF","NfsA"
"0010110",0.793790384690819,3,NA,"#FF6D66","NfsA"
"0011001",0.15836249209525,3,NA,"#FFE2E1","NfsA"
"0011010",0.492760389026837,3,NA,"#FFA6A2","NfsA"
"0011100",0.0453229787866575,3,NA,"#FFF7F7","NfsA"
"0100011",0.481442628502305,3,NA,"#FFA6A2","NfsA"
"0100101",-0.0423927129399047,3,NA,"#F7FDFF","NfsA"
"0100110",-0.0291883891274822,3,NA,"#FBFEFF","NfsA"
"0101001",0.0899051114393979,3,NA,"#FFEDEC","NfsA"
"0101010",-0.0560111249262281,3,NA,"#F3FCFF","NfsA"
"0101100",-0.0385789059335517,3,NA,"#F7FDFF","NfsA"
"0110001",-0.00348832784582135,3,NA,"#FFFFFF","NfsA"
"0110010",0.0128372247051722,3,NA,"#FFFBFB","NfsA"
"0110100",-0.0366844886138887,3,NA,"#F7FDFF","NfsA"
"0111000",-0.0222763947111523,3,NA,"#FBFEFF","NfsA"
"1000011",0.828015064223977,3,NA,"#FF6A62","NfsA"
"1000101",-0.00524305541237188,3,NA,"#FFFFFF","NfsA"
"1000110",0.806179973983887,3,NA,"#FF6D66","NfsA"
"1001001",0.281033367247728,3,NA,"#FFCDCA","NfsA"
"1001010",0.830588668685144,3,NA,"#FF665F","NfsA"
"1001100",-0.0510982390297863,3,NA,"#F3FCFF","NfsA"
"1010001",0.193124598354462,3,NA,"#FFDBD9","NfsA"
"1010010",0.904174368284164,3,NA,"#FF5C53","NfsA"
"1010100",-0.0352690789463706,3,NA,"#F7FDFF","NfsA"
"1011000",0.0755469613925307,3,NA,"#FFF0F0","NfsA"
"1100001",0.235528446907549,3,NA,"#FFD4D2","NfsA"
"1100010",0.634477270160732,3,NA,"#FF8A84","NfsA"
"1100100",-0.0305840876460186,3,NA,"#F7FDFF","NfsA"
"1101000",0.139879086401236,3,NA,"#FFE6E4","NfsA"
"1110000",0.00432137378264258,3,NA,"#FFFFFF","NfsA"
"0001111",0.745855195173729,4,NA,"#FF7871","NfsA"
"0010111",0.52244423350632,4,NA,"#FF9F9A","NfsA"
"0011011",0.7481880270062,4,NA,"#FF7871","NfsA"
"0011101",0.0253058652647703,4,NA,"#FFFBFB","NfsA"
"0011110",0.709269960975831,4,NA,"#FF7F79","NfsA"
"0100111",0.598790506763115,4,NA,"#FF918B","NfsA"
"0101011",0.390935107103379,4,NA,"#FFB8B4","NfsA"
"0101101",-0.0209070993616736,4,NA,"#FBFEFF","NfsA"
"0101110",-0.0438315695246367,4,NA,"#F7FDFF","NfsA"
"0110011",0.551449997972875,4,NA,"#FF9B96","NfsA"
"0110101",-0.0287241512618947,4,NA,"#FBFEFF","NfsA"
"0110110",0.436162647040756,4,NA,"#FFB1AD","NfsA"
"0111001",0.0530784434834197,4,NA,"#FFF4F3","NfsA"
"0111010",-0.0190880622231565,4,NA,"#FBFEFF","NfsA"
"0111100",-0.0222763947111523,4,NA,"#FBFEFF","NfsA"
"1000111",0.841984804590114,4,NA,"#FF665F","NfsA"
"1001011",0.663700925389648,4,NA,"#FF8680","NfsA"
"1001101",0.00432137378264258,4,NA,"#FFFFFF","NfsA"
"1001110",0.865696059916071,4,NA,"#FF635B","NfsA"
